,model,reg,lamb,eval/lr,eval/loss,eval/ece,eval/mce,eval/top1_acc,eval/top5_acc,eval/L,eval/alphaD,eval/var,eval/lambd,eval/cummulant,test/lr,test/loss,test/ece,test/mce,test/top1_acc,test/top5_acc,test/L,test/alphaD,test/var,test/lambd,test/cummulant
10,resnet56,5,2.0,0.1,1.3932280401143506,0.14151513576507568,0.26007401943206787,0.65499999999345,0.90699999999093,1.3932280540466309,0.8323509693145752,5.0338287353515625,0.10000000149011612,0.021612197160720825,0.1,1.2628019371836514,0.12034958600997925,0.20145058631896973,0.6949999999992277,0.9155555555545382,1.2628018856048584,0.8104361295700073,5.088644981384277,0.10000000149011612,0.021339774131774902
11,resnet56,5,0.01,0.1,1.158957231376126,0.12061098217964172,0.26786723732948303,0.69099999999309,0.92299999999077,1.1589572429656982,0.7241027355194092,3.920105218887329,0.10000000149011612,0.01698634773492813,0.1,1.1433327052870101,0.10910545289516449,0.2170419692993164,0.7117777777769868,0.9188888888878678,1.1433327198028564,0.7450237274169922,4.342626094818115,0.10000000149011612,0.018393628299236298
12,resnet56,5,0.001,0.1,1.154753673450022,0.11464899033308029,0.19267034530639648,0.6899999999931,0.92899999999071,1.1547538042068481,0.7059804797172546,3.655158281326294,0.10000000149011612,0.015993796288967133,0.1,1.1661646088252466,0.10743233561515808,0.22252005338668823,0.6978888888881134,0.9178888888878689,1.1661646366119385,0.7357152700424194,4.152052879333496,0.10000000149011612,0.017742380499839783
13,resnet56,4,0.01,0.1,1.322211133132564,0.12754255533218384,0.30746644735336304,0.7309999999926899,0.91699999999083,1.3222110271453857,0.9147434830665588,6.524177074432373,0.10000000149011612,0.026808157563209534,0.1,1.320383030695892,0.1436113715171814,0.2970004677772522,0.7232222222214186,0.916555555554537,1.320383071899414,0.9171226620674133,6.578263759613037,0.10000000149011612,0.026951029896736145
14,resnet56,5,0.1,0.1,1.2277283545745232,0.1324954777956009,0.2577475309371948,0.68899999999311,0.91499999999085,1.2277286052703857,0.7823954820632935,4.657635688781738,0.10000000149011612,0.019785098731517792,0.1,1.1494047364073454,0.10686202347278595,0.2013968825340271,0.7181111111103131,0.9219999999989755,1.149404764175415,0.763160765171051,4.674258708953857,0.10000000149011612,0.019511066377162933
15,resnet56,3,2.0,0.1,1.3097106087366952,0.10700878500938416,0.22456276416778564,0.64099999999359,0.9099999999909,1.3097107410430908,0.7395191192626953,4.113050937652588,0.10000000149011612,0.01761162281036377,0.1,1.2933029186925606,0.09373942017555237,0.17410624027252197,0.6681111111103687,0.9052222222212163,1.2933030128479004,0.7681801915168762,4.570489406585693,0.10000000149011612,0.019273415207862854
16,resnet56,4,1.0,0.1,1.3864620785349764,0.1506546437740326,0.4054710865020752,0.69799999999302,0.92099999999079,1.3864619731903076,0.9209365248680115,6.585324764251709,0.10000000149011612,0.02704581618309021,0.1,1.2960431693829433,0.1371913105249405,0.27948126196861267,0.7154444444436494,0.9162222222212041,1.2960431575775146,0.8863179683685303,6.172676086425781,0.10000000149011612,0.025399193167686462
17,resnet56,3,0.001,0.1,1.2843729129146328,0.0475057028234005,0.11709684133529663,0.63299999999367,0.89699999999103,1.2843728065490723,0.6468267440795898,2.875791072845459,0.10000000149011612,0.012954965233802795,0.1,1.2680997437056445,0.05109279230237007,0.09441059827804565,0.6408888888881767,0.8904444444434549,1.2680997848510742,0.6659916639328003,3.135638952255249,0.10000000149011612,0.013947397470474243
18,resnet56,0,0.1,0.1,1.4514044378098694,0.15856574475765228,0.3143511414527893,0.7059999999929399,0.9059999999909399,1.4514045715332031,0.9964089393615723,7.591954231262207,0.10000000149011612,0.03100423514842987,0.1,1.337361374004867,0.15113425254821777,0.32586294412612915,0.7165555555547594,0.9157777777767602,1.3373615741729736,0.9228912591934204,6.626420497894287,0.10000000149011612,0.027176380157470703
19,resnet20,3,0.01,0.1,1.3391227588255694,0.049004439264535904,0.41128551959991455,0.59799999999402,0.88199999999118,1.3391228914260864,0.6116905808448792,2.424274444580078,0.10000000149011612,0.011202067136764526,0.1,1.3407891311582782,0.02617836929857731,0.08593122661113739,0.6175555555548693,0.8822222222212419,1.3407891988754272,0.6432103514671326,2.787397623062134,0.10000000149011612,0.01265805959701538
